ds,y
3/29/2017,199
3/30/2017,597
3/31/2017,2388
4/1/2017,2985
4/2/2017,8756
4/3/2017,8955
4/4/2017,6567
4/5/2017,7960
4/6/2017,5970
4/7/2017,6169
4/8/2017,5174
4/9/2017,4577
4/10/2017,5373
4/11/2017,7562
4/12/2017,5373
4/13/2017,8159
4/14/2017,4179
4/15/2017,3383
4/16/2017,5970
4/17/2017,6169
4/18/2017,8358
4/19/2017,8358
4/20/2017,6368
4/21/2017,4179
4/22/2017,3383
4/23/2017,4179
4/24/2017,7562
4/25/2017,5771
4/26/2017,8358
4/27/2017,6567
4/28/2017,4776
4/29/2017,4179
4/30/2017,7164
5/1/2017,5771
5/2/2017,8358
5/3/2017,7960
5/4/2017,7164
5/5/2017,5572
5/6/2017,3184
5/7/2017,6567
5/8/2017,8159
5/9/2017,7164
5/10/2017,7363
5/11/2017,5970
5/12/2017,4378
5/13/2017,3980
5/14/2017,5174
5/15/2017,5771
5/16/2017,7562
5/17/2017,8756
5/18/2017,8955
5/19/2017,7363
5/20/2017,3582
5/21/2017,3980
5/22/2017,7562
5/23/2017,7761
5/24/2017,9154
5/25/2017,7164
5/26/2017,4975
5/27/2017,4577
5/28/2017,5970
5/29/2017,7164
5/30/2017,6965
5/31/2017,7363
6/1/2017,8955
6/2/2017,4179
6/3/2017,3383
6/4/2017,4577
6/5/2017,6368
6/6/2017,6766
6/7/2017,8557
6/8/2017,7562
6/9/2017,3980
6/10/2017,4378
6/11/2017,5771
6/12/2017,6169
6/13/2017,8756
6/14/2017,7761
6/15/2017,5174
6/16/2017,5373
6/17/2017,3781
6/18/2017,3781
6/19/2017,6965
6/20/2017,6169
6/21/2017,7562
6/22/2017,5970
6/23/2017,7562
6/24/2017,3781
6/25/2017,5970
6/26/2017,5771
6/27/2017,6567
6/28/2017,8756
6/29/2017,6169
6/30/2017,4776
7/1/2017,1592
